iter	Logloss
0	0.6281752058
1	0.5789069438
2	0.5351869745
3	0.5019777212
4	0.4747631182
5	0.4518811864
6	0.4347175076
7	0.4197060541
8	0.4093914489
9	0.3981640363
10	0.3897632888
11	0.3825985108
12	0.3762677356
13	0.3717071337
14	0.3677492329
15	0.3643867523
16	0.3614180843
17	0.3598777798
18	0.3575429748
19	0.3556368539
20	0.354207872
21	0.3526789653
22	0.3512486373
23	0.3502604348
24	0.3492963162
25	0.3486341045
26	0.3478616741
27	0.3470694336
28	0.3464926102
29	0.3458375856
30	0.3451952875
31	0.3446091677
32	0.3441971755
33	0.3437823508
34	0.3432659275
35	0.3430128761
36	0.3427293898
37	0.342396722
38	0.342112353
39	0.3417988315
40	0.3415252652
41	0.3412325851
42	0.3409343279
43	0.3406031206
44	0.34037024
45	0.3402148766
46	0.3400260543
47	0.3398236702
48	0.3395939468
49	0.3393770536
50	0.3392145986
51	0.3389986902
52	0.3387960108
53	0.3386315059
54	0.3384414974
55	0.3383001242
56	0.3381558231
57	0.3380445728
58	0.337914681
59	0.3378082293
60	0.3376684941
61	0.3375431018
62	0.3373820528
63	0.3372497166
64	0.3371247559
65	0.337007839
66	0.3368321115
67	0.3366840864
68	0.3365665523
69	0.3364472251
70	0.3363175129
71	0.3362043575
72	0.3360986732
73	0.3359792966
74	0.3358605806
75	0.3357825518
76	0.3356671364
77	0.3355763909
78	0.3354882923
79	0.3353631278
80	0.3352521245
81	0.3351612306
82	0.3350602675
83	0.3349083929
84	0.3347733453
85	0.3346777812
86	0.3345818391
87	0.3345008311
88	0.3344227256
89	0.3342815082
90	0.3342267323
91	0.3340427315
92	0.3339346895
93	0.3337992926
94	0.3336951009
95	0.333618265
96	0.3335424786
97	0.3334714027
98	0.3333803976
99	0.3332987568
100	0.3331889694
101	0.3331108495
102	0.3330184065
103	0.3329562241
104	0.3328841445
105	0.3327455963
106	0.3326551336
107	0.3325402319
108	0.332472144
109	0.3324000384
110	0.3323393255
111	0.3322210215
112	0.3321587503
113	0.3320445588
114	0.3319466824
115	0.331845924
116	0.3317489067
117	0.3317004787
118	0.331572772
119	0.3314753453
120	0.3313889828
121	0.3313096103
122	0.3312031773
123	0.3311579207
124	0.3310501041
125	0.330997732
126	0.3309073107
127	0.3308284562
128	0.3307569466
129	0.3306805479
130	0.3306081615
131	0.3305309418
132	0.3304502909
133	0.3303726964
134	0.3302534805
135	0.3301771306
136	0.3301220651
137	0.3300206563
138	0.3299455573
139	0.3298511424
140	0.329741807
141	0.3296519466
142	0.3295354441
143	0.3294436029
144	0.3293598729
145	0.3292526961
146	0.3291589644
147	0.3290587788
148	0.328987436
149	0.3288866633
150	0.3287797602
151	0.3286852283
152	0.328622943
153	0.3285687729
154	0.3284846587
155	0.3284246608
156	0.3283534099
157	0.3282580959
158	0.3281736958
159	0.3280922954
160	0.3280488746
161	0.3279880628
162	0.3279211937
163	0.3278480433
164	0.3277636059
165	0.3276942463
166	0.327592612
167	0.3274846692
168	0.3274020179
169	0.3273398174
170	0.3272795024
171	0.3272102509
172	0.327105427
173	0.3270030032
174	0.3268969053
175	0.326830126
176	0.3267851431
177	0.3267018778
178	0.3266149205
179	0.3265290127
180	0.3264344722
181	0.3263549506
182	0.3262850876
183	0.326154532
184	0.3261092801
185	0.3260358434
186	0.3259242996
187	0.3258510864
188	0.3257637108
189	0.3256761664
190	0.3255925362
191	0.3254988552
192	0.3254358745
193	0.3253814729
194	0.3253740873
195	0.3253018288
196	0.3252377188
197	0.3251547131
198	0.3250801892
199	0.3250032456
200	0.324910884
201	0.3248632767
202	0.3247946827
203	0.3247297255
204	0.3246122629
205	0.3245657414
206	0.3245022827
207	0.3244288879
208	0.3243291588
209	0.3242679645
210	0.3241994323
211	0.3241350042
212	0.3240786682
213	0.324030164
214	0.3239442131
215	0.3238522055
216	0.3237632378
217	0.3236715628
218	0.3236026104
219	0.3235357112
220	0.3235124368
221	0.3234034952
222	0.3232940601
223	0.3232186164
224	0.3231280028
225	0.3230489553
226	0.322980088
227	0.3228544175
228	0.3227988886
229	0.3227373418
230	0.3226775272
231	0.3226138914
232	0.3225477359
233	0.3224498722
234	0.3223932536
235	0.3223403373
236	0.3222679475
237	0.322212136
238	0.322157841
239	0.3220868457
240	0.3219965354
241	0.3219044492
242	0.3218326965
243	0.3217706676
244	0.3216862317
245	0.32168231
246	0.3215871245
247	0.3215082345
248	0.3214538658
249	0.321369206
250	0.3212624033
251	0.321192431
252	0.3211061314
253	0.3210310812
254	0.3209550596
255	0.3208933358
256	0.3208317649
257	0.3207326858
258	0.3206158465
259	0.3205741029
260	0.320468466
261	0.3204211775
262	0.3203528052
263	0.3202984498
264	0.3202352542
265	0.3201642107
266	0.3201224112
267	0.3200407872
268	0.3199421385
269	0.31988658
270	0.3198270391
271	0.31976332
272	0.3196981436
273	0.319635283
274	0.3195433244
275	0.3194501073
276	0.3193924113
277	0.3193479466
278	0.3192594592
279	0.3191760701
280	0.3191260929
281	0.3190172052
282	0.3189615333
283	0.3189164426
284	0.3188503425
285	0.3187908737
286	0.3187508013
287	0.3186832794
288	0.3186161675
289	0.3185514729
290	0.318483365
291	0.3184116225
292	0.3183201846
293	0.3182545951
294	0.3182034279
295	0.3181611674
296	0.3180949046
297	0.3180320677
298	0.3179415425
299	0.3178758394
300	0.3177778844
301	0.3177073685
302	0.317632386
303	0.3175620755
304	0.3174809161
305	0.3174339671
306	0.3173869076
307	0.3173610695
308	0.3172974523
309	0.317257586
310	0.3171593707
311	0.3171040984
312	0.3170325942
313	0.3169526872
314	0.3168662576
315	0.3168073833
316	0.3167563878
317	0.3166386279
318	0.3166073495
319	0.31653689
320	0.3164792483
321	0.3163709665
322	0.316303289
323	0.3162770392
324	0.3162200912
325	0.3161642075
326	0.3161441806
327	0.3160717462
328	0.3159891814
329	0.315907273
330	0.3158465731
331	0.3157853346
332	0.3156886917
333	0.3156321841
334	0.3155744702
335	0.3155266445
336	0.3154607908
337	0.3153695245
338	0.3152807026
339	0.3151936053
340	0.3151232751
341	0.3150661985
342	0.314999063
343	0.3149617952
344	0.3148816629
345	0.3148132146
346	0.3147343363
347	0.3146734825
348	0.3146093624
349	0.3145528079
350	0.3144727988
351	0.3144258348
352	0.3143621782
353	0.3142797261
354	0.3142351877
355	0.3141858855
356	0.3141289505
357	0.3140581779
358	0.3139948835
359	0.3139386855
360	0.313867563
361	0.3137789165
362	0.3137170187
363	0.3136494672
364	0.3135493056
365	0.3134972122
366	0.3134153945
367	0.3133840803
368	0.3132868343
369	0.313208046
370	0.3131305258
371	0.313052926
372	0.312986706
373	0.312913561
374	0.312840341
375	0.3127553684
376	0.3126531028
377	0.3126369252
378	0.3125588404
379	0.3124760396
380	0.3124158761
381	0.3123731819
382	0.3123126903
383	0.3122437848
384	0.3121920981
385	0.3121508063
386	0.3120787059
387	0.3119952541
388	0.3119381114
389	0.3118683998
390	0.3118167199
391	0.3117712488
392	0.3117062901
393	0.3116085266
394	0.3115641987
395	0.3114987573
396	0.3114035758
397	0.3113548959
398	0.3112855685
399	0.3112198707
400	0.3111350218
401	0.3111045911
402	0.3110270968
403	0.310988253
404	0.3109304067
405	0.3108830557
406	0.310825942
407	0.3107708419
408	0.3107270393
409	0.3106778699
410	0.3105954204
411	0.3105442801
412	0.3104662584
413	0.3104076617
414	0.3103466353
415	0.3102761524
416	0.3101952963
417	0.3101247727
418	0.3100323436
419	0.3099828237
420	0.3099296847
421	0.3098956984
422	0.3098068085
423	0.3097611953
424	0.3097035104
425	0.3096484652
426	0.3095673367
427	0.3095053229
428	0.3094223562
429	0.3093814361
430	0.3093460196
431	0.3092679354
432	0.3092182852
433	0.3091607708
434	0.3090596257
435	0.3090139349
436	0.308969588
437	0.3089066785
438	0.308831103
439	0.3087895668
440	0.3087179564
441	0.3086167222
442	0.3085664195
443	0.308537597
444	0.3084675668
445	0.308427559
446	0.3083716158
447	0.308295998
448	0.3082154092
449	0.3081244578
450	0.3080914832
451	0.3079807462
452	0.3079561902
453	0.3078904991
454	0.3078517108
455	0.3078276823
456	0.3077778256
457	0.3077250887
458	0.307690233
459	0.3076352222
460	0.3075517791
461	0.3074704932
462	0.3074169951
463	0.3073372117
464	0.3072890263
465	0.3072567436
466	0.3071923813
467	0.3071323742
468	0.3070710606
469	0.3070266333
470	0.3069785136
471	0.3069254254
472	0.3068938016
473	0.3068317188
474	0.3067634957
475	0.3066777386
476	0.3066064173
477	0.3065860954
478	0.3065495253
479	0.3064875423
480	0.3064440358
481	0.3063832949
482	0.3063381613
483	0.3062665895
484	0.3062355616
485	0.3061873527
486	0.3061172933
487	0.3060708721
488	0.3060085658
489	0.305958064
490	0.3058963964
491	0.3058534044
492	0.3057838235
493	0.3057437437
494	0.3056785723
495	0.3056222765
496	0.3055995762
497	0.3055622146
498	0.3054679683
499	0.3054432019
500	0.3053671081
501	0.3053147382
502	0.3052182025
503	0.305177784
504	0.3051402578
505	0.305064531
506	0.3050016943
507	0.3049441723
508	0.3048897802
509	0.3048098877
510	0.3047420364
511	0.3046573756
512	0.3046234639
513	0.3045488848
514	0.304456827
515	0.3043844517
516	0.3043112148
517	0.3042255306
518	0.3041787885
519	0.3041459534
520	0.3041089405
521	0.304018638
522	0.3039291983
523	0.3038771836
524	0.3038286408
525	0.3037662254
526	0.3037070327
527	0.3036544741
528	0.3035848596
529	0.3035347669
530	0.3034716817
531	0.3034201502
532	0.3033760339
533	0.3033041953
534	0.3032372066
535	0.3031670104
536	0.3031099159
537	0.303068795
538	0.3030031856
539	0.3029563967
540	0.3029210953
541	0.3028916921
542	0.3028269727
543	0.3027599411
544	0.3027388785
545	0.3026704572
546	0.3025922117
547	0.3025347267
548	0.3024721041
549	0.3024367023
550	0.3023770302
551	0.3022986392
552	0.3022470128
553	0.3021837634
554	0.3021119617
555	0.3020391322
556	0.3020097961
557	0.3019499365
558	0.3018832645
559	0.3018021046
560	0.3017133113
561	0.3016801222
562	0.3016434233
563	0.3015961728
564	0.3015014058
565	0.301458571
566	0.3014015287
567	0.3013805485
568	0.3013502601
569	0.3012790439
570	0.3012190367
571	0.3011776153
572	0.3011544633
573	0.3011090831
574	0.3010732024
575	0.3009976085
576	0.3009345248
577	0.3008833299
578	0.3008527994
579	0.3008260729
580	0.3007717118
581	0.3006730928
582	0.3006309037
583	0.3005717783
584	0.3005010339
585	0.3004703124
586	0.3004267276
587	0.3003683799
588	0.3003365972
589	0.3002679287
590	0.3002236967
591	0.3001524496
592	0.3000923107
593	0.3000354132
594	0.2999719373
595	0.2999275145
596	0.2998750271
597	0.299827084
598	0.2997716345
599	0.2997508171
600	0.2996753087
601	0.2996434006
602	0.2996007243
603	0.299535997
604	0.2995115623
605	0.2994631565
606	0.299391154
607	0.2993030613
608	0.2992660985
609	0.2991938125
610	0.2991613225
611	0.2991080328
612	0.2990506875
613	0.2989876884
614	0.2989535876
615	0.2989165156
616	0.2988666049
617	0.2988051485
618	0.2987556672
619	0.298653065
620	0.2985772167
621	0.2984907556
622	0.298441469
623	0.2983674494
624	0.2983102915
625	0.2982721985
626	0.2982258153
627	0.2981701775
628	0.2981401963
629	0.2980946465
630	0.2980297212
631	0.2979750461
632	0.2979578041
633	0.2979446733
634	0.2979026607
635	0.2978753626
636	0.2977979214
637	0.2977570295
638	0.2976850237
639	0.297635535
640	0.2975578655
641	0.2974733317
642	0.2974277637
643	0.2974013239
644	0.2973687109
645	0.2973422875
646	0.297296936
647	0.2972453827
648	0.2972122458
649	0.2971726901
650	0.2971066082
651	0.2970789097
652	0.2970191393
653	0.2969482217
654	0.2968880003
655	0.2968206998
656	0.2967525849
657	0.2967054219
658	0.296645807
659	0.2965718323
660	0.2965332705
661	0.2964789684
662	0.2964503593
663	0.2964117927
664	0.2963598871
665	0.2963156609
666	0.2962758718
667	0.2962380054
668	0.2961987341
669	0.2961282638
670	0.2960992657
671	0.296067138
672	0.2959814262
673	0.295945535
674	0.295890798
675	0.2958426309
676	0.2957858661
677	0.2957511542
678	0.2956764959
679	0.2956367714
680	0.2955804719
681	0.2955159577
682	0.2954338948
683	0.2953951624
684	0.2953550691
685	0.2953411164
686	0.2953031692
687	0.2952578107
688	0.2952215795
689	0.295162977
690	0.295123689
691	0.2950993591
692	0.295068509
693	0.295012981
694	0.2949600279
695	0.2949168937
696	0.2948660298
697	0.294818155
698	0.2947267905
699	0.2946765178
700	0.294635335
701	0.2945868975
702	0.2945559041
703	0.2945098954
704	0.2944613743
705	0.2943887369
706	0.2943667769
707	0.2943270177
708	0.2942520803
709	0.2941999672
710	0.2941361827
711	0.2940938887
712	0.2940134246
713	0.2939534231
714	0.293885413
715	0.293853165
716	0.2937886519
717	0.2937521847
718	0.2936857016
719	0.2936840063
720	0.2936270187
721	0.2935784051
722	0.2935398618
723	0.2934977646
724	0.2934299012
