iter	Passed	Remaining
0	196	195929
1	248	123941
2	295	98333
3	340	84810
4	388	77357
5	435	72074
6	470	66783
7	516	64071
8	551	60759
9	595	58977
10	644	57938
11	689	56809
12	740	56234
13	786	55383
14	835	54874
15	885	54449
16	930	53819
17	965	52664
18	1009	52107
19	1075	52713
20	1116	52051
21	1186	52764
22	1232	52349
23	1270	51685
24	1310	51109
25	1357	50844
26	1403	50594
27	1453	50449
28	1500	50256
29	1549	50089
30	1613	50422
31	1657	50138
32	1723	50493
33	1768	50255
34	1817	50099
35	1865	49950
36	1909	49708
37	1961	49658
38	2007	49473
39	2056	49347
40	2100	49132
41	2148	48995
42	2197	48908
43	2236	48597
44	2275	48285
45	2319	48102
46	2385	48374
47	2433	48259
48	2480	48147
49	2526	48010
50	2573	47891
51	2638	48094
52	2676	47819
53	2717	47602
54	2766	47530
55	2831	47734
56	2878	47617
57	2922	47466
58	2987	47648
59	3034	47544
60	3083	47460
61	3129	47339
62	3175	47227
63	3227	47197
64	3272	47076
65	3336	47212
66	3384	47131
67	3431	47036
68	3496	47175
69	3535	46975
70	3575	46777
71	3625	46728
72	3671	46616
73	3718	46528
74	3767	46466
75	3817	46406
76	3864	46325
77	3908	46195
78	3955	46116
79	4020	46234
80	4068	46155
81	4115	46078
82	4163	46000
83	4211	45927
84	4291	46192
85	4365	46394
86	4415	46334
87	4459	46215
88	4509	46156
89	4558	46089
90	4619	46147
91	4669	46081
92	4714	45976
93	4762	45906
94	4811	45835
95	4859	45758
96	4903	45643
97	4970	45746
98	5016	45658
99	5064	45582
100	5113	45519
101	5160	45431
102	5205	45337
103	5253	45262
104	5301	45187
105	5351	45137
106	5397	45047
107	5445	44973
108	5508	45024
109	5554	44939
110	5603	44878
111	5652	44817
112	5698	44734
113	5748	44676
114	5793	44587
115	5831	44436
116	5872	44321
117	5921	44261
118	5985	44313
119	6034	44254
120	6071	44103
121	6111	43982
122	6174	44023
123	6223	43966
124	6269	43885
125	6314	43800
126	6365	43756
127	6427	43789
128	6474	43713
129	6521	43645
130	6569	43579
131	6619	43525
132	6680	43551
133	6742	43577
134	6793	43526
135	6839	43453
136	6886	43382
137	6934	43314
138	6981	43246
139	7029	43182
140	7077	43117
141	7121	43032
142	7170	42975
143	7217	42904
144	7265	42838
145	7314	42787
146	7378	42813
147	7426	42750
148	7471	42672
149	7519	42610
150	7565	42538
151	7613	42477
152	7660	42409
153	7723	42430
154	7785	42445
155	7849	42470
156	7898	42410
157	7946	42349
158	7994	42284
159	8039	42208
160	8087	42145
161	8136	42087
162	8185	42034
163	8222	41912
164	8262	41811
165	8310	41752
166	8358	41689
167	8421	41705
168	8468	41641
169	8515	41574
170	8550	41454
171	8596	41382
172	8645	41328
173	8691	41258
174	8739	41200
175	8784	41128
176	8835	41081
177	8881	41015
178	8928	40949
179	8975	40889
180	9023	40828
181	9069	40764
182	9119	40712
183	9165	40646
184	9214	40595
185	9261	40530
186	9309	40474
187	9356	40413
188	9404	40353
189	9451	40291
190	9497	40226
191	9548	40181
192	9585	40080
193	9625	39989
194	9670	39922
195	9721	39879
196	9758	39777
197	9803	39707
198	9848	39640
199	9914	39657
200	9962	39601
201	10023	39598
202	10086	39599
203	10148	39600
204	10198	39551
205	10242	39478
206	10291	39425
207	10340	39372
208	10384	39301
209	10420	39200
210	10464	39131
211	10528	39133
212	10577	39081
213	10624	39023
214	10671	38964
215	10735	38967
216	10783	38911
217	10821	38819
218	10862	38736
219	10909	38680
220	10955	38617
221	11005	38569
222	11052	38509
223	11100	38456
224	11167	38465
225	11210	38392
226	11258	38339
227	11308	38288
228	11354	38227
229	11401	38169
230	11450	38117
231	11498	38062
232	11543	37997
233	11590	37942
234	11640	37894
235	11685	37830
236	11733	37773
237	11782	37724
238	11843	37711
239	11908	37709
240	11972	37706
241	12017	37641
242	12080	37634
243	12128	37579
244	12175	37520
245	12218	37451
246	12271	37409
247	12317	37350
248	12365	37296
249	12412	37236
250	12447	37145
251	12492	37081
252	12540	37026
253	12586	36967
254	12632	36907
255	12682	36857
256	12729	36800
257	12779	36754
258	12840	36736
259	12890	36689
260	12952	36674
261	12997	36611
262	13045	36557
263	13094	36504
264	13155	36487
265	13203	36434
266	13253	36383
267	13297	36319
268	13346	36267
269	13391	36207
270	13440	36155
271	13488	36102
272	13553	36092
273	13597	36028
274	13647	35978
275	13693	35921
276	13730	35839
277	13775	35775
278	13821	35717
279	13885	35706
280	13932	35648
281	13979	35593
282	14027	35540
283	14074	35484
284	14123	35431
285	14171	35378
286	14217	35321
287	14280	35304
288	14329	35254
289	14376	35196
290	14421	35137
291	14467	35079
292	14515	35026
293	14563	34971
294	14612	34921
295	14660	34867
296	14724	34851
297	14774	34803
298	14821	34748
299	14866	34689
300	14934	34681
301	14979	34622
302	15027	34567
303	15077	34519
304	15115	34444
305	15153	34368
306	15200	34312
307	15248	34259
308	15328	34277
309	15374	34221
310	15423	34169
311	15486	34149
312	15533	34094
313	15581	34040
314	15645	34022
315	15692	33966
316	15737	33906
317	15786	33855
318	15847	33830
319	15912	33813
320	15959	33759
321	16010	33710
322	16054	33649
323	16100	33592
324	16164	33572
325	16213	33521
326	16259	33463
327	16308	33412
328	16354	33355
329	16402	33301
330	16450	33248
331	16496	33191
332	16548	33145
333	16609	33120
334	16655	33062
335	16701	33004
336	16754	32962
337	16800	32904
338	16863	32881
339	16926	32857
340	16974	32804
341	17022	32750
342	17068	32694
343	17119	32645
344	17166	32590
345	17212	32534
346	17262	32484
347	17308	32428
348	17357	32377
349	17420	32352
350	17485	32330
351	17529	32270
352	17580	32223
353	17625	32164
354	17673	32111
355	17736	32085
356	17784	32032
357	17847	32006
358	17885	31935
359	17924	31866
360	17990	31845
361	18057	31825
362	18098	31759
363	18184	31772
364	18231	31717
365	18276	31660
366	18321	31601
367	18366	31542
368	18416	31492
369	18464	31438
370	18512	31386
371	18558	31329
372	18605	31275
373	18671	31252
374	18718	31198
375	18782	31171
376	18830	31118
377	18874	31058
378	18940	31034
379	18986	30977
380	19051	30951
381	19099	30898
382	19142	30837
383	19196	30794
384	19240	30735
385	19287	30679
386	19353	30655
387	19400	30600
388	19445	30542
389	19495	30493
390	19543	30440
391	19591	30386
392	19652	30353
393	19701	30302
394	19762	30269
395	19830	30247
396	19875	30189
397	19921	30132
398	19968	30077
399	20032	30049
400	20080	29996
401	20146	29969
402	20186	29904
403	20242	29861
404	20286	29803
405	20348	29771
406	20398	29720
407	20462	29690
408	20523	29655
409	20569	29600
410	20607	29533
411	20649	29471
412	20697	29417
413	20763	29390
414	20809	29333
415	20871	29300
416	20919	29247
417	20966	29192
418	21016	29141
419	21060	29084
420	21109	29031
421	21155	28976
422	21207	28928
423	21249	28867
424	21300	28818
425	21339	28752
426	21378	28687
427	21422	28630
428	21471	28578
429	21518	28525
430	21565	28470
431	21602	28402
432	21643	28341
433	21694	28292
434	21731	28225
435	21769	28160
436	21817	28107
437	21864	28054
438	21929	28023
439	21993	27991
440	22039	27936
441	22086	27882
442	22134	27830
443	22183	27779
444	22233	27728
445	22278	27673
446	22328	27623
447	22390	27588
448	22440	27537
449	22503	27504
450	22566	27470
451	22606	27408
452	22657	27359
453	22719	27323
454	22764	27267
455	22813	27215
456	22876	27182
457	22921	27125
458	22970	27074
459	23018	27022
460	23081	26986
461	23130	26935
462	23194	26901
463	23243	26850
464	23306	26814
465	23351	26759
466	23390	26696
467	23428	26632
468	23494	26600
469	23545	26551
470	23603	26509
471	23653	26459
472	23700	26405
473	23761	26368
474	23811	26317
475	23856	26262
476	23903	26208
477	23966	26172
478	24013	26119
479	24081	26088
480	24142	26050
481	24189	25996
482	24254	25961
483	24302	25909
484	24346	25852
485	24393	25798
486	24460	25766
487	24523	25729
488	24571	25676
489	24609	25613
490	24667	25572
491	24727	25531
492	24776	25480
493	24820	25423
494	24887	25390
495	24949	25351
496	24996	25298
497	25058	25259
498	25106	25207
499	25153	25153
500	25203	25102
501	25248	25047
502	25316	25014
503	25359	24957
504	25408	24905
505	25455	24851
506	25521	24816
507	25565	24760
508	25612	24706
509	25662	24656
510	25725	24618
511	25772	24564
512	25816	24508
513	25866	24456
514	25913	24403
515	25975	24364
516	26041	24328
517	26107	24292
518	26152	24238
519	26198	24183
520	26247	24131
