iter	Logloss	Accuracy
0	0.6806264159	0.87220312
1	0.6681225978	0.87220312
2	0.6567577995	0.87220312
3	0.6455754615	0.87220312
4	0.6348899857	0.87220312
5	0.6246623228	0.87220312
6	0.6151522794	0.87220312
7	0.6056964633	0.87220312
8	0.5969936827	0.87220312
9	0.5880359664	0.87220312
10	0.5793976764	0.87220312
11	0.5713905434	0.87220312
12	0.5631947935	0.87220312
13	0.5556798257	0.87220312
14	0.5481310571	0.87220312
15	0.5409398567	0.87220312
16	0.5344330286	0.87220312
17	0.5280805843	0.87220312
18	0.5217375054	0.87220312
19	0.5157099088	0.87220312
20	0.5098025012	0.87220312
21	0.5042550465	0.87220312
22	0.4986738444	0.87220312
23	0.493245456	0.87220312
24	0.4885160441	0.87220312
25	0.483648771	0.87220312
26	0.4791780979	0.87220312
27	0.4750706472	0.87220312
28	0.4707354122	0.87220312
29	0.4664896969	0.87220312
30	0.4621742723	0.87220312
31	0.4580697106	0.87220312
32	0.4541610082	0.87220312
33	0.4506352797	0.87220312
34	0.447224146	0.87220312
35	0.4438684266	0.87220312
36	0.4405925311	0.87220312
37	0.4376375564	0.87220312
38	0.4346507617	0.87220312
39	0.4318435817	0.87220312
40	0.4288935994	0.87220312
41	0.4262625482	0.87220312
42	0.4237730341	0.87220312
43	0.4212491893	0.87220312
44	0.4189760897	0.87220312
45	0.4166619485	0.87220312
46	0.414270309	0.87220312
47	0.4122446211	0.87220312
48	0.4103453296	0.87220312
49	0.4083678347	0.87220312
50	0.4063666008	0.87220312
51	0.4045161745	0.87220312
52	0.4026713579	0.87220312
53	0.4008882483	0.87220312
54	0.3992795634	0.87220312
55	0.3976655662	0.87220312
56	0.3959844715	0.87220312
57	0.3944833129	0.87220312
58	0.3929341525	0.87220312
59	0.3913568133	0.87220312
60	0.389929646	0.87220312
61	0.3886352933	0.87220312
62	0.3873423942	0.87220312
63	0.3861953322	0.87220312
64	0.3851977016	0.87220312
65	0.3840846051	0.87220312
66	0.3830611868	0.87220312
67	0.381961921	0.87220312
68	0.380865267	0.87220312
69	0.3797892976	0.87220312
70	0.3787500115	0.87220312
71	0.3779765664	0.87220312
72	0.3770726342	0.87220312
73	0.3762444801	0.87220312
74	0.3753804809	0.87220312
75	0.3746267663	0.87220312
76	0.3737283663	0.87220312
77	0.3729201013	0.87220312
78	0.3722437763	0.87220312
79	0.3715569721	0.87220312
80	0.3708570286	0.87220312
81	0.3702751874	0.87220312
82	0.3694717112	0.87220312
83	0.3688522228	0.87220312
84	0.3682681403	0.87220312
85	0.3677092318	0.87220312
86	0.3670409304	0.87220312
87	0.3664604696	0.87220312
88	0.3658871185	0.87220312
89	0.365403381	0.87220312
90	0.3649564825	0.87220312
91	0.3644572936	0.87220312
92	0.3639635809	0.87220312
93	0.3635007642	0.87220312
94	0.3630482718	0.87220312
95	0.3626114252	0.87220312
96	0.362224005	0.87220312
97	0.3617505071	0.87220312
98	0.3613723969	0.87220312
99	0.3608924435	0.87220312
100	0.3604368989	0.87220312
101	0.3600957637	0.87220312
102	0.359692737	0.87220312
103	0.3594095698	0.87220312
104	0.3590900643	0.87220312
105	0.3587602927	0.87220312
106	0.3584169284	0.87220312
107	0.3580410596	0.87220312
108	0.3577037522	0.87220312
109	0.3574292823	0.87220312
110	0.3571872909	0.87220312
111	0.3569110742	0.87220312
112	0.3566870419	0.87220312
113	0.356459728	0.87220312
114	0.3561912134	0.87220312
115	0.3559796265	0.87220312
116	0.3557817911	0.87220312
117	0.3555498364	0.87220312
118	0.3553533402	0.87220312
119	0.3551770238	0.8722200579
120	0.3550389069	0.8722200579
121	0.3548486923	0.8722200579
122	0.3546627744	0.8722200579
123	0.3544250193	0.8722200579
124	0.3542412975	0.8722200579
125	0.3540647371	0.8722200579
126	0.3537876523	0.8722200579
127	0.3536544642	0.8722200579
128	0.3534228449	0.8722200579
129	0.3532069636	0.8722200579
130	0.3529609552	0.8722200579
131	0.352853659	0.8722369959
132	0.3526707033	0.8722369959
133	0.3525793353	0.8722369959
134	0.3523716936	0.8722369959
135	0.3522192908	0.8722369959
136	0.3520527313	0.8722369959
137	0.3518925041	0.8722369959
138	0.3517884244	0.8722369959
139	0.3515843921	0.8722369959
140	0.3514010625	0.8722369959
141	0.3512139022	0.8722369959
142	0.3510224414	0.8722369959
143	0.3508474239	0.8722369959
144	0.3506898685	0.8722369959
145	0.3505115192	0.8722369959
146	0.3503991253	0.8722369959
147	0.3502318957	0.8722369959
148	0.3500733277	0.8722539338
149	0.3499109274	0.8722539338
150	0.3497468227	0.8722539338
151	0.3496161339	0.8722539338
152	0.3494741972	0.8722539338
153	0.3493188925	0.8722539338
154	0.3491695765	0.8722539338
155	0.3490194788	0.8722539338
156	0.3488722701	0.8722539338
157	0.3487411897	0.8722539338
158	0.3486221074	0.8722539338
159	0.348499043	0.8722539338
160	0.3483718552	0.8722539338
161	0.3482215342	0.8722539338
