iter	Logloss	Accuracy
0	0.6817505288	0.8723119871
1	0.6708942927	0.8723119871
2	0.6604158111	0.8723119871
3	0.6502359847	0.8723119871
4	0.6402245007	0.8723119871
5	0.63031376	0.8723119871
6	0.6211504216	0.8723119871
7	0.6124587173	0.8723119871
8	0.6044790605	0.8723119871
9	0.5960909944	0.8723119871
10	0.5885388732	0.8723119871
11	0.5809806954	0.8723119871
12	0.574170218	0.8723119871
13	0.5667961702	0.8723119871
14	0.5598618235	0.8723119871
15	0.5530062021	0.8723119871
16	0.5466524463	0.8723119871
17	0.5402980938	0.8723119871
18	0.5344016186	0.8723119871
19	0.5284896246	0.8723119871
20	0.5229878975	0.8723119871
21	0.5178070051	0.8723119871
22	0.5123462826	0.8723119871
23	0.5070950715	0.8723119871
24	0.5021270473	0.8723119871
25	0.497015748	0.8723119871
26	0.4922698215	0.8723119871
27	0.4880858305	0.8723119871
28	0.4839915722	0.8723119871
29	0.4797707701	0.8723119871
30	0.4755460608	0.8723119871
31	0.4715264489	0.8723119871
32	0.4677214057	0.8723119871
33	0.4640315726	0.8723119871
34	0.4606006548	0.8723119871
35	0.4571068303	0.8723119871
36	0.4536801988	0.8723119871
37	0.4506180677	0.8723119871
38	0.4474003295	0.8723119871
39	0.4444140005	0.8723119871
40	0.4415787876	0.8723119871
41	0.4387044478	0.8723119871
42	0.4359278471	0.8723119871
43	0.4331542001	0.8723119871
44	0.4307255492	0.8723119871
45	0.4283287361	0.8723119871
46	0.4258779309	0.8723119871
47	0.4234572636	0.8723119871
48	0.4211380918	0.8723119871
49	0.4187824573	0.8723119871
50	0.4167282053	0.8723119871
51	0.414785773	0.8723119871
52	0.4129856054	0.8723119871
53	0.4112791207	0.8723119871
54	0.4093748795	0.8723119871
55	0.4075816492	0.8723119871
56	0.4055983609	0.8723119871
57	0.4039335619	0.8723119871
58	0.4023416419	0.8723119871
59	0.4007358995	0.8723119871
60	0.3992431408	0.8723119871
61	0.3978656002	0.8723119871
62	0.3963622535	0.8723119871
63	0.3949945314	0.8723119871
64	0.393622645	0.8723119871
65	0.3924845754	0.8723119871
66	0.3913316437	0.8723119871
67	0.3901205324	0.8723119871
68	0.3890713726	0.8723119871
69	0.3878486289	0.8723119871
70	0.3868102558	0.8723119871
71	0.385667302	0.8723119871
72	0.3846347743	0.8723119871
73	0.383678154	0.8723119871
74	0.382530274	0.8723119871
75	0.3816247327	0.8723119871
76	0.3806771752	0.8723119871
77	0.3798083054	0.8723289062
78	0.3788018134	0.8723289062
79	0.3779537895	0.8723289062
80	0.3771878986	0.8723289062
81	0.3764530373	0.8723289062
82	0.3756986633	0.8723289062
83	0.3748225797	0.8723289062
84	0.3740910765	0.8723289062
85	0.3733514906	0.8723289062
86	0.3726668287	0.8723289062
87	0.3720550903	0.8723289062
88	0.3714847734	0.8723289062
89	0.3707706677	0.8723289062
90	0.3702191701	0.8723289062
91	0.3696528623	0.8723289062
92	0.3690769392	0.8723289062
93	0.3684602774	0.8723289062
94	0.3679358809	0.8723289062
95	0.3674060834	0.8723289062
96	0.3669539556	0.8723289062
97	0.3664481793	0.8723289062
98	0.3658965469	0.8723289062
99	0.3655036599	0.8723289062
100	0.3650280748	0.8723289062
101	0.3645473139	0.8723289062
102	0.3640734767	0.8723289062
103	0.3636388622	0.8723289062
104	0.3632290621	0.8723289062
105	0.3628858175	0.8723289062
106	0.3625202732	0.8723289062
107	0.3621667762	0.8723289062
108	0.3617306891	0.8723289062
109	0.3613154024	0.8723458252
110	0.3610019795	0.8723458252
111	0.360679219	0.8723627443
112	0.360324337	0.8723458252
113	0.3600217162	0.8723458252
114	0.3598051961	0.8723458252
115	0.3595352387	0.8723458252
116	0.3593330102	0.8723458252
117	0.3590464639	0.8723458252
118	0.3588081329	0.8723458252
119	0.3584713671	0.8723458252
120	0.3581329795	0.8723458252
121	0.3578980471	0.8723458252
122	0.3576331306	0.8723458252
123	0.3574678061	0.8723458252
124	0.3571948086	0.8723458252
125	0.3570583618	0.8723627443
126	0.3568629725	0.8723458252
127	0.3566046653	0.8723627443
128	0.3563435437	0.8723627443
129	0.356092151	0.8723627443
130	0.3559205591	0.8723627443
131	0.3557557934	0.8723627443
132	0.3556515395	0.8723627443
133	0.3554378964	0.8723627443
134	0.3552289805	0.8723627443
135	0.3550790922	0.8723627443
136	0.3549128255	0.8723627443
137	0.3547712177	0.8723627443
138	0.3545759118	0.8723796633
139	0.3544353255	0.8723796633
140	0.3541982538	0.8723796633
141	0.3540681927	0.8723796633
142	0.3539933633	0.8723796633
143	0.3538245517	0.8723796633
144	0.3536776983	0.8723796633
145	0.3535211299	0.8723796633
146	0.3534156119	0.8723796633
