iter	Passed	Remaining
0	69	69591
1	123	61686
2	191	63732
3	266	66301
4	332	66069
5	404	66953
6	469	66633
7	537	66683
8	581	64042
9	647	64059
10	710	63875
11	775	63810
12	844	64146
13	913	64306
14	977	64201
15	1043	64175
16	1106	63988
17	1168	63751
18	1213	62676
19	1267	62117
20	1331	62057
21	1375	61162
22	1425	60561
23	1489	60571
24	1549	60440
25	1613	60437
26	1676	60418
27	1726	59947
28	1795	60121
29	1851	59870
30	1914	59828
31	1979	59881
32	2041	59833
33	2105	59821
34	2167	59755
35	2231	59761
36	2294	59716
37	2359	59725
38	2420	59643
39	2478	59474
40	2542	59472
41	2606	59447
42	2672	59471
43	2736	59452
44	2804	59507
45	2868	59485
46	2930	59414
47	2994	59383
48	3055	59303
49	3120	59297
50	3187	59303
51	3234	58975
52	3296	58909
53	3358	58836
54	3422	58809
55	3482	58705
56	3545	58654
57	3610	58637
58	3671	58550
59	3735	58524
60	3805	58586
61	3868	58531
62	3929	58437
63	3992	58395
64	4054	58315
65	4114	58228
66	4176	58157
67	4239	58104
68	4284	57815
69	4344	57721
70	4405	57637
71	4466	57565
72	4527	57497
73	4589	57432
74	4653	57390
75	4714	57312
76	4780	57303
77	4843	57250
78	4905	57195
79	4966	57110
80	5031	57088
81	5073	56796
82	5133	56718
83	5194	56641
84	5253	56552
85	5314	56482
86	5372	56379
87	5432	56297
88	5493	56232
89	5555	56175
90	5614	56082
91	5677	56029
92	5738	55967
93	5806	55966
94	5865	55876
95	5926	55812
96	5986	55726
97	6056	55740
98	6113	55640
99	6154	55394
100	6216	55328
101	6277	55263
102	6335	55174
103	6397	55120
104	6458	55048
105	6509	54897
106	6560	54756
107	6621	54688
108	6685	54649
109	6750	54615
110	6816	54591
111	6864	54422
112	6923	54347
113	6969	54167
114	7019	54019
115	7079	53948
116	7115	53702
117	7176	53639
118	7236	53571
119	7298	53523
120	7359	53462
121	7399	53251
122	7458	53181
123	7503	53007
124	7562	52935
125	7621	52865
126	7666	52702
127	7727	52646
128	7793	52620
129	7853	52560
130	7905	52438
131	7962	52359
132	8000	52154
133	8069	52148
134	8129	52091
135	8188	52021
136	8248	51956
137	8305	51880
138	8367	51831
139	8427	51767
140	8489	51717
141	8548	51653
142	8585	51451
143	8645	51393
144	8705	51333
145	8772	51314
146	8825	51209
147	8884	51146
148	8945	51093
149	9006	51036
150	9071	51004
151	9132	50950
152	9169	50759
153	9229	50704
154	9290	50649
155	9340	50534
156	9402	50486
157	9464	50439
158	9521	50362
159	9581	50303
160	9642	50249
161	9706	50210
162	9775	50197
163	9834	50130
164	9895	50079
165	9957	50027
166	10017	49969
167	10092	49984
168	10153	49928
169	10218	49888
170	10280	49841
171	10344	49797
172	10405	49743
173	10466	49685
174	10529	49637
175	10591	49588
176	10653	49535
177	10718	49495
178	10788	49481
179	10851	49432
180	10911	49372
181	10970	49306
182	11023	49213
183	11098	49221
184	11158	49158
185	11219	49100
186	11282	49052
187	11341	48985
188	11402	48926
189	11466	48882
190	11534	48857
191	11598	48808
192	11647	48700
193	11711	48655
194	11780	48631
195	11840	48571
196	11903	48521
197	11965	48468
198	12031	48426
199	12092	48371
200	12169	48373
201	12233	48327
202	12292	48260
203	12352	48198
204	12414	48144
205	12477	48091
206	12537	48029
207	12602	47985
208	12664	47932
209	12733	47901
210	12786	47812
211	12847	47753
212	12908	47696
213	12970	47640
214	13030	47577
215	13094	47529
216	13162	47495
217	13223	47435
218	13283	47372
219	13346	47318
220	13406	47258
221	13467	47196
222	13530	47143
223	13594	47093
224	13654	47033
225	13722	46996
226	13787	46949
227	13849	46895
228	13911	46837
229	13970	46772
230	14032	46715
231	14095	46660
232	14170	46648
233	14233	46594
234	14296	46540
235	14355	46474
236	14419	46421
237	14477	46352
238	14539	46296
239	14600	46236
240	14664	46184
241	14732	46144
242	14789	46072
243	14851	46016
244	14912	45954
245	14975	45899
246	15035	45837
247	15098	45781
248	15160	45723
249	15246	45738
250	15306	45676
251	15366	45612
252	15428	45554
253	15493	45503
254	15554	45443
255	15615	45382
256	15678	45328
257	15748	45291
258	15808	45228
259	15870	45169
260	15930	45105
261	15994	45052
262	16053	44987
263	16115	44927
264	16176	44866
265	16249	44837
266	16310	44776
267	16370	44713
268	16431	44650
269	16495	44598
270	16558	44541
271	16620	44483
272	16686	44435
273	16753	44391
274	16814	44330
275	16876	44270
276	16937	44209
277	16999	44150
278	17062	44093
279	17121	44027
280	17182	43965
281	17253	43929
282	17312	43863
283	17373	43799
284	17433	43737
285	17497	43683
286	17554	43611
287	17617	43553
288	17684	43508
289	17751	43459
290	17814	43402
291	17875	43342
292	17936	43279
293	17994	43210
294	18052	43143
295	18113	43079
296	18173	43015
297	18236	42959
298	18315	42939
299	18375	42877
300	18436	42813
301	18498	42754
302	18560	42694
303	18603	42591
304	18666	42536
305	18732	42483
306	18794	42425
307	18854	42360
308	18913	42294
309	18972	42229
310	19031	42163
311	19094	42104
312	19154	42041
313	19217	41984
314	19278	41923
315	19359	41905
316	19420	41842
317	19480	41778
318	19541	41716
319	19600	41651
320	19665	41598
321	19730	41544
322	19795	41491
323	19856	41429
324	19919	41372
325	19982	41314
326	20044	41253
327	20105	41191
328	20165	41128
329	20225	41064
330	20285	41000
331	20360	40967
332	20422	40906
333	20479	40836
334	20541	40776
335	20603	40716
336	20670	40666
337	20735	40612
338	20794	40546
339	20857	40488
340	20920	40430
341	20982	40370
342	21044	40309
343	21107	40251
344	21167	40188
345	21231	40131
346	21289	40063
347	21371	40041
348	21432	39977
349	21493	39915
350	21555	39855
351	21620	39801
352	21689	39753
353	21751	39693
354	21814	39634
355	21876	39573
356	21935	39508
357	21995	39445
358	22054	39378
359	22116	39318
360	22176	39255
361	22239	39196
362	22302	39136
363	22364	39075
364	22446	39050
365	22507	38988
366	22570	38928
367	22635	38874
368	22701	38820
369	22762	38757
370	22824	38696
371	22878	38623
372	22940	38562
373	23000	38497
374	23059	38433
375	23121	38371
376	23181	38308
377	23242	38244
378	23301	38180
379	23361	38116
380	23434	38073
381	23496	38013
382	23559	37954
383	23625	37899
384	23694	37849
385	23756	37788
386	23816	37724
387	23877	37662
388	23937	37599
389	23997	37534
390	24058	37471
391	24119	37409
392	24179	37345
393	24242	37286
394	24303	37225
395	24365	37163
396	24404	37067
397	24481	37029
398	24546	36974
399	24615	36923
400	24686	36875
401	24747	36813
402	24810	36754
403	24873	36694
404	24931	36627
405	24991	36563
406	25045	36491
407	25105	36427
408	25166	36364
409	25222	36295
410	25285	36235
411	25344	36171
412	25404	36107
413	25465	36045
414	25537	35998
415	25601	35940
416	25672	35892
417	25733	35830
418	25797	35771
419	25864	35717
420	25931	35663
421	25993	35602
422	26055	35540
423	26119	35482
424	26180	35420
425	26246	35365
426	26312	35308
427	26374	35247
428	26437	35188
429	26500	35129
430	26582	35093
431	26654	35045
432	26715	34983
433	26776	34920
434	26837	34857
435	26895	34791
436	26931	34696
437	26965	34599
438	27022	34532
439	27089	34477
440	27155	34421
441	27207	34348
442	27268	34285
443	27324	34216
444	27380	34148
445	27436	34080
446	27488	34007
447	27546	33941
448	27625	33901
449	27682	33834
450	27745	33774
451	27810	33716
452	27871	33654
453	27929	33589
454	27992	33529
455	28049	33463
456	28107	33397
457	28164	33330
458	28221	33263
459	28279	33197
460	28338	33133
461	28395	33066
462	28452	32999
463	28509	32932
464	28567	32867
465	28657	32838
466	28718	32777
467	28775	32710
468	28830	32642
469	28888	32575
470	28945	32509
471	29002	32443
472	29059	32377
473	29123	32318
474	29174	32245
475	29235	32183
476	29294	32119
477	29351	32053
478	29406	31985
479	29462	31917
480	29519	31851
481	29580	31790
482	29648	31735
483	29716	31680
484	29773	31615
485	29831	31549
486	29887	31482
487	29925	31397
488	29982	31331
489	30038	31264
490	30089	31192
491	30140	31120
492	30204	31061
493	30266	31001
494	30324	30936
495	30359	30849
496	30417	30785
497	30474	30719
498	30532	30654
499	30596	30596
500	30654	30532
501	30711	30467
502	30802	30435
503	30861	30372
504	30917	30305
505	30949	30215
506	31008	30152
507	31065	30086
508	31122	30021
509	31180	29958
510	31244	29899
511	31304	29837
512	31361	29771
513	31418	29706
514	31473	29639
515	31533	29577
516	31598	29520
517	31632	29434
518	31688	29368
519	31744	29302
520	31825	29259
521	31882	29194
522	31939	29129
523	31994	29063
524	32048	28996
525	32104	28930
526	32161	28866
527	32219	28802
528	32284	28744
529	32345	28683
530	32401	28618
531	32458	28553
532	32515	28489
533	32582	28433
534	32639	28369
535	32696	28304
536	32753	28240
537	32821	28185
538	32902	28140
539	32958	28075
540	33015	28011
541	33072	27946
542	33127	27881
543	33169	27803
544	33226	27739
545	33285	27676
546	33348	27617
547	33408	27556
548	33466	27492
549	33526	27430
550	33574	27359
551	33634	27297
552	33688	27231
553	33748	27169
554	33782	27086
555	33828	27014
556	33918	26976
557	33975	26912
558	34034	26850
559	34090	26785
560	34148	26722
561	34204	26657
562	34262	26594
563	34319	26530
564	34367	26459
565	34431	26401
566	34491	26340
567	34554	26281
568	34613	26218
569	34669	26154
570	34725	26089
571	34781	26025
572	34839	25962
573	34910	25909
574	34992	25863
575	35048	25799
576	35083	25719
577	35138	25654
578	35193	25589
579	35248	25525
580	35304	25460
581	35360	25396
582	35420	25335
583	35481	25274
584	35544	25215
585	35608	25156
586	35665	25093
587	35722	25029
588	35780	24967
589	35836	24903
590	35892	24839
591	35970	24790
592	36039	24735
593	36094	24670
594	36150	24606
595	36210	24545
596	36268	24482
597	36312	24410
598	36369	24347
599	36426	24284
600	36468	24211
601	36533	24153
602	36597	24094
603	36639	24021
604	36698	23960
605	36754	23896
606	36810	23833
607	36869	23770
608	36924	23706
609	36980	23643
610	37075	23604
611	37130	23540
612	37185	23476
613	37241	23412
614	37297	23349
615	37352	23284
616	37407	23220
617	37469	23160
618	37539	23105
619	37603	23047
620	37661	22984
621	37716	22921
622	37773	22858
623	37829	22794
624	37886	22731
625	37942	22668
626	37999	22605
627	38085	22559
628	38148	22501
629	38206	22438
630	38263	22376
631	38321	22313
632	38364	22243
633	38422	22180
634	38479	22118
635	38562	22070
636	38628	22012
637	38685	21950
638	38747	21890
639	38823	21838
640	38889	21780
641	38958	21724
642	39020	21664
643	39079	21602
644	39190	21570
645	39235	21500
646	39290	21436
647	39346	21373
648	39403	21310
649	39446	21240
650	39508	21180
651	39573	21122
652	39633	21061
653	39694	21000
654	39757	20940
655	39820	20881
656	39912	20837
657	39975	20777
658	40040	20718
659	40111	20663
660	40204	20619
661	40259	20555
662	40313	20491
663	40368	20427
664	40426	20365
665	40484	20302
666	40546	20243
667	40605	20181
668	40667	20121
669	40728	20060
670	40792	20001
671	40876	19951
672	40945	19894
673	41011	19836
674	41075	19776
675	41137	19716
676	41191	19652
677	41290	19610
678	41346	19546
679	41399	19482
680	41456	19419
681	41523	19361
682	41569	19293
683	41625	19230
684	41660	19157
685	41723	19097
686	41785	19037
687	41845	18976
688	41900	18913
689	41943	18843
690	41999	18781
691	42056	18718
692	42111	18655
693	42168	18593
694	42227	18531
695	42313	18481
696	42371	18419
697	42425	18356
698	42463	18285
699	42507	18217
700	42575	18159
701	42634	18098
702	42696	18038
703	42760	17978
704	42824	17919
705	42891	17861
706	42944	17797
707	43002	17735
708	43058	17672
709	43115	17610
710	43174	17549
711	43221	17482
712	43275	17419
713	43354	17366
714	43429	17311
715	43495	17252
716	43558	17192
717	43615	17130
718	43672	17068
719	43729	17005
720	43785	16943
721	43845	16882
722	43907	16822
723	43967	16760
724	44023	16698
725	44081	16636
726	44116	16566
727	44172	16504
728	44227	16441
729	44283	16378
730	44340	16316
731	44428	16266
732	44504	16211
733	44561	16149
734	44621	16087
735	44677	16025
736	44733	15963
737	44790	15901
738	44849	15839
739	44912	15780
740	44975	15720
741	45038	15660
742	45094	15597
743	45150	15535
744	45205	15473
745	45260	15410
746	45315	15347
747	45374	15286
748	45429	15224
749	45545	15181
750	45593	15116
751	45629	15048
752	45685	14985
753	45742	14923
754	45797	14861
755	45854	14799
756	45909	14736
757	45969	14676
758	46033	14616
759	46094	14556
760	46138	14490
761	46195	14428
762	46252	14366
763	46308	14304
764	46368	14243
765	46428	14183
766	46496	14124
767	46596	14076
768	46653	14014
769	46709	13952
770	46765	13890
771	46821	13828
772	46877	13766
773	46936	13704
774	46992	13642
775	47053	13582
776	47114	13521
777	47174	13461
778	47229	13398
779	47287	13337
780	47342	13275
781	47399	13213
782	47461	13153
783	47522	13092
784	47580	13031
785	47687	12983
786	47742	12921
787	47799	12859
788	47857	12798
789	47916	12737
790	47976	12676
791	48034	12615
792	48095	12554
793	48155	12493
794	48216	12433
795	48274	12371
796	48331	12310
797	48386	12248
798	48451	12188
799	48516	12129
800	48571	12067
801	48629	12005
802	48737	11956
803	48793	11894
804	48849	11833
805	48905	11771
806	48961	11709
807	49017	11647
808	49071	11585
809	49130	11524
810	49192	11464
811	49254	11403
812	49309	11341
813	49367	11280
814	49425	11219
815	49484	11158
816	49546	11098
817	49604	11036
818	49661	10975
819	49764	10923
820	49820	10862
821	49876	10800
822	49934	10739
823	49991	10677
824	50046	10615
825	50103	10554
826	50134	10487
827	50191	10426
828	50255	10366
829	50316	10305
830	50367	10243
831	50436	10184
832	50499	10124
833	50541	10059
834	50600	9998
835	50657	9937
836	50713	9876
837	50807	9821
838	50878	9763
839	50934	9701
840	50992	9640
841	51047	9579
842	51102	9517
843	51157	9455
844	51210	9393
845	51269	9332
846	51330	9272
847	51394	9212
848	51458	9152
849	51518	9091
850	51577	9030
851	51633	8969
852	51691	8908
853	51749	8847
854	51801	8785
855	51905	8731
856	51963	8670
857	52020	8609
858	52075	8547
859	52131	8486
860	52186	8425
861	52242	8363
862	52298	8302
863	52358	8241
864	52425	8181
865	52487	8121
866	52544	8060
867	52600	7999
868	52657	7938
869	52714	7876
870	52770	7815
871	52826	7754
872	52882	7693
873	52979	7637
874	53038	7576
875	53094	7515
876	53143	7453
877	53198	7392
878	53253	7330
879	53308	7269
880	53363	7208
881	53429	7148
882	53495	7088
883	53558	7027
884	53615	6967
885	53673	6906
886	53731	6845
887	53790	6784
888	53847	6723
889	53903	6662
890	53960	6601
891	54052	6544
892	54111	6483
893	54167	6422
894	54223	6361
895	54280	6300
896	54336	6239
897	54397	6178
898	54463	6118
899	54527	6058
900	54591	5998
901	54643	5936
902	54699	5875
903	54756	5814
904	54812	5753
905	54869	5692
906	54925	5631
907	54978	5570
908	55034	5509
909	55273	5466
910	55331	5405
911	55395	5345
912	55459	5284
913	55517	5223
914	55572	5162
915	55627	5101
916	55683	5040
917	55744	4979
918	55805	4918
919	55868	4858
920	55924	4797
921	55979	4735
922	56036	4674
923	56092	4613
924	56147	4552
925	56207	4491
926	56270	4431
927	56399	4375
928	56467	4315
929	56527	4254
930	56588	4194
931	56659	4133
932	56734	4074
933	56799	4013
934	56869	3953
935	56931	3892
936	56986	3831
937	57042	3770
938	57095	3709
939	57151	3647
940	57206	3586
941	57263	3525
942	57317	3464
943	57434	3407
944	57497	3346
945	57554	3285
946	57610	3224
947	57666	3163
948	57723	3102
949	57779	3041
950	57835	2979
951	57894	2919
952	57958	2858
953	58020	2797
954	58100	2737
955	58168	2677
956	58235	2616
957	58303	2556
958	58375	2495
959	58455	2435
960	58561	2376
961	58616	2315
962	58672	2254
963	58728	2193
964	58784	2132
965	58842	2071
