iter	Logloss	Accuracy
0	0.6921233915	0.6406425988
1	0.6912445577	0.6561740471
2	0.6900417843	0.6599679886
3	0.6887933979	0.6608571937
4	0.6876247553	0.6562333274
5	0.6865357509	0.6561147667
6	0.685405653	0.6598494279
7	0.6842700276	0.6597901476
8	0.6831962723	0.6593751853
9	0.6821536728	0.6591380639
10	0.6810493302	0.6594937459
11	0.6800303465	0.6599679886
12	0.6789606346	0.6597901476
13	0.677946443	0.6598494279
14	0.6770111412	0.6604422313
15	0.676047139	0.6609757543
16	0.6751817203	0.6622206414
17	0.6743797346	0.6626948841
18	0.6734293035	0.6628134448
19	0.6725275157	0.6622206414
20	0.6716352375	0.6633469678
21	0.6708156051	0.6628134448
22	0.6699152427	0.6628727251
23	0.6690648993	0.6636433695
24	0.6682650829	0.6643547335
25	0.6677221351	0.6643547335
26	0.6669533453	0.6634655285
27	0.6662542134	0.6629912858
28	0.6655721402	0.6622799217
29	0.6648347558	0.6621020807
30	0.6641356386	0.6619242397
31	0.663507432	0.6622799217
32	0.6628947865	0.6628134448
33	0.6621914912	0.6634062481
34	0.6615161917	0.6631098465
35	0.6607393515	0.6635840892
36	0.6600382701	0.6625170431
37	0.6593735622	0.6625763234
38	0.6587908899	0.6629320055
39	0.6581437527	0.6628134448
40	0.6575110455	0.6628727251
41	0.6569621353	0.6637619302
42	0.6563291727	0.6637619302
43	0.6557278847	0.6632876875
44	0.6551132492	0.6630505661
45	0.6545713884	0.6629912858
46	0.6540877262	0.6628134448
47	0.6534829543	0.6627541644
48	0.6529184995	0.6629912858
49	0.652380816	0.6623392021
50	0.6518288899	0.6628134448
51	0.6514021168	0.6628134448
52	0.6509426019	0.6628134448
53	0.6504167041	0.6629320055
54	0.6499845792	0.6625170431
55	0.6495137188	0.6626356038
56	0.6489617264	0.6623392021
57	0.6484546692	0.6627541644
58	0.647958889	0.6627541644
59	0.6476367951	0.6627541644
60	0.6471686911	0.6632876875
61	0.6466348911	0.6633469678
62	0.6462048978	0.6643547335
63	0.6458004008	0.6638804908
64	0.6454399004	0.6642361729
65	0.6449726675	0.6644140139
66	0.6445240093	0.6641176122
67	0.6440444725	0.6639990515
68	0.6435826815	0.6635248088
69	0.6432366713	0.6637619302
70	0.6428675423	0.6634062481
71	0.6425402034	0.6638212105
72	0.6421644012	0.6633469678
73	0.6417896881	0.6635248088
74	0.6414509144	0.6640583319
75	0.6411061162	0.6642954532
76	0.640711776	0.6644732942
77	0.6403633125	0.6644732942
78	0.6400069602	0.6640583319
79	0.6397489298	0.6639397712
80	0.639509647	0.6644732942
81	0.6392143514	0.6649475369
82	0.6388688754	0.6651846582
83	0.6385598626	0.6651846582
84	0.6382264034	0.6656589009
85	0.6379067212	0.6655403403
86	0.6375965909	0.665836742
87	0.6374119249	0.6656589009
88	0.637131863	0.665836742
89	0.6367725362	0.6658960223
90	0.6365337164	0.6655403403
91	0.6362157544	0.6658960223
92	0.6358851242	0.6663109846
93	0.6355665342	0.6666073863
94	0.6353208596	0.6657181813
95	0.6349976706	0.6664295453
96	0.6346910263	0.6664888257
97	0.6344944556	0.666548106
98	0.6342255814	0.6666073863
99	0.6340283161	0.667081629
100	0.6337999572	0.6668445077
101	0.6335283439	0.6666073863
102	0.6332483136	0.6668445077
103	0.6328797862	0.666903788
104	0.6326176907	0.6669630684
105	0.6323367101	0.6676151521
106	0.6320792741	0.6673780307
107	0.6318297419	0.6678522734
108	0.631620191	0.6676744324
109	0.6313019761	0.6676744324
110	0.6309989349	0.6677337127
111	0.6307615584	0.6679708341
112	0.6305847806	0.6680301144
113	0.630353056	0.6685636374
114	0.6301382371	0.6686229178
115	0.6298831557	0.6685636374
116	0.6296561433	0.6691564408
117	0.6294773526	0.6692750015
118	0.6292372263	0.6699863655
119	0.6290917486	0.6700456459
120	0.6288868314	0.6704013279
121	0.6287154441	0.6700456459
