iter	Passed	Remaining
0	44	44409
1	76	38229
2	113	37746
3	153	38220
4	188	37441
5	225	37397
6	263	37312
7	298	36968
8	334	36814
9	371	36776
10	408	36718
11	444	36579
12	482	36649
13	520	36659
14	557	36583
15	595	36616
16	634	36690
17	671	36654
18	709	36612
19	748	36683
20	787	36689
21	822	36572
22	860	36553
23	898	36553
24	935	36470
25	958	35895
26	998	35991
27	1036	35972
28	1072	35900
29	1107	35824
30	1144	35780
31	1180	35709
32	1217	35662
33	1252	35583
34	1285	35451
35	1322	35417
36	1359	35396
37	1395	35336
38	1434	35336
39	1466	35191
40	1502	35145
41	1538	35087
42	1573	35016
43	1608	34941
44	1643	34885
45	1678	34803
46	1711	34708
47	1749	34688
48	1785	34656
49	1821	34617
50	1858	34590
51	1891	34478
52	1925	34397
53	1962	34372
54	1996	34295
55	2032	34264
56	2068	34225
57	2105	34192
58	2141	34148
59	2174	34074
60	2210	34033
61	2246	33986
62	2280	33914
63	2316	33882
64	2352	33841
65	2389	33816
66	2423	33753
67	2460	33721
68	2497	33694
69	2524	33536
70	2560	33500
71	2593	33430
72	2628	33376
73	2660	33296
74	2698	33277
75	2734	33241
76	2770	33208
77	2804	33156
78	2838	33097
79	2873	33048
80	2897	32879
81	2930	32808
82	2968	32791
83	3008	32811
84	3045	32787
85	3084	32784
86	3122	32772
87	3147	32616
88	3183	32589
89	3219	32553
90	3253	32503
91	3288	32454
92	3325	32430
93	3362	32405
94	3396	32360
95	3433	32328
96	3467	32283
97	3502	32234
98	3535	32173
99	3570	32137
100	3607	32114
101	3639	32041
102	3675	32007
103	3710	31966
104	3749	31956
105	3789	31956
106	3827	31941
107	3862	31900
108	3886	31769
109	3923	31742
110	3963	31747
111	3999	31712
112	4043	31739
113	4072	31653
114	4100	31557
115	4130	31477
116	4160	31401
117	4189	31316
118	4220	31246
119	4249	31164
120	4278	31082
121	4308	31004
122	4344	30975
123	4383	30970
124	4420	30941
125	4454	30902
126	4490	30868
127	4527	30843
128	4564	30820
129	4593	30743
130	4624	30676
131	4655	30612
132	4685	30546
133	4716	30480
134	4745	30409
135	4775	30338
136	4804	30266
137	4833	30189
138	4862	30119
139	4893	30059
140	4924	29998
141	4955	29944
142	4990	29909
143	5031	29911
144	5062	29849
145	5089	29771
146	5119	29709
147	5151	29653
148	5180	29585
149	5210	29526
150	5241	29470
151	5273	29419
152	5305	29368
153	5334	29307
154	5365	29251
155	5396	29195
156	5426	29137
157	5465	29123
158	5503	29109
159	5538	29076
160	5572	29039
161	5607	29005
162	5635	28937
163	5664	28875
164	5692	28808
165	5721	28746
166	5750	28685
167	5780	28625
168	5809	28567
169	5839	28510
170	5867	28446
171	5897	28392
172	5927	28335
173	5960	28293
174	5988	28233
175	6013	28152
176	6059	28173
177	6088	28117
178	6110	28026
179	6139	27968
180	6168	27911
181	6199	27865
182	6229	27809
183	6247	27706
184	6277	27653
185	6306	27600
186	6336	27549
187	6368	27506
188	6398	27456
189	6423	27383
190	6454	27339
191	6494	27329
192	6532	27312
193	6569	27292
194	6606	27271
195	6638	27230
196	6667	27176
197	6699	27136
198	6729	27086
199	6759	27039
200	6789	26990
201	6819	26940
202	6844	26871
203	6873	26821
204	6905	26779
205	6939	26746
206	6960	26663
207	6990	26618
208	7020	26568
209	7060	26562
210	7090	26513
211	7119	26463
212	7151	26422
213	7169	26331
214	7198	26284
215	7227	26231
216	7257	26187
217	7287	26141
218	7317	26095
219	7346	26045
220	7375	25998
221	7406	25954
222	7436	25912
223	7470	25881
224	7504	25850
225	7541	25826
226	7575	25796
227	7611	25772
228	7639	25722
229	7669	25677
230	7698	25629
231	7727	25579
232	7755	25529
233	7782	25474
234	7810	25426
235	7838	25375
236	7868	25331
237	7887	25253
238	7918	25213
239	7953	25185
240	7985	25147
241	8016	25110
242	8047	25068
243	8101	25101
244	8136	25075
245	8166	25031
246	8198	24993
247	8227	24949
248	8257	24906
249	8286	24859
250	8315	24814
251	8344	24768
252	8372	24721
253	8401	24675
254	8431	24633
255	8460	24589
256	8489	24544
